,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29
5619,,,,,,,,,,,,,,Nightwatch,,,,,,,,,,,,,,,,
5620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valkyrie,
5621,,,,,,,,,Flashdance,,,,,,,,,,,,,,,,,,,,,
5622,,,,,,,,,,,,,,,,,,,,Father of the Bride Part II,,,,,,,,,,
5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speed,
5624,,,,,,,,,,,,,,,,,,,House of Sand and Fog,,,,,,,,,,,
5625,,,,This Boy's Life,,,,,,,,,,,,,,,,,,,,,,,,,,
5626,,,,,,,,,,,Godzilla: Final Wars,,,,,,,,,,,,,,,,,,,
5627,,,,,,,,,,,,,,,Night and the City,,,,,,,,,,,,,,,
5628,,,,,,,,,,,,,,,,,,,Little Children,,,,,,,,,,,
5629,,,,,,,,,,,,,,,,,,,,,,,,,,French Connection II,,,,
5630,,,,,,,,,,,,,,,,,,,,,,,,Catchfire,,,,,,
5631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resident Evil: Extinction
5632,,,,,,,,,,,,,,,Escaflowne,,,,,,,,,,,,,,,
5633,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,,,
5634,,,,Look Both Ways,,,,,,,,,,,,,,,,,,,,,,,,,,
5635,,,,,,The Sapphires,,,,,,,,,,,,,,,,,,,,,,,,
5636,,,,Blues Brothers 2000,,,,,,,,,,,,,,,,,,,,,,,,,,
5637,,,,,,,,,,,,,,,Shalako,,,,,,,,,,,,,,,
5638,,,,Bon Voyage,,,,,,,,,,,,,,,,,,,,,,,,,,
5639,,,,,,,,,You Will Meet a Tall Dark Stranger,,,,,,,,,,,,,,,,,,,,,
5640,,,,Designing Woman,,,,,,,,,,,,,,,,,,,,,,,,,,
5641,,,,,,,,,,,,,,,,,,,,,,,,Red Heat,,,,,,
5642,,,,,,,,,,,,,,,,,,,,,,,,,,,Rush Hour,,,
5643,,,,,,,,,,,,,,,,,,,,,,,,The Two Jakes,,,,,,
5644,,,,,,The Big Red One,,,,,,,,,,,,,,,,,,,,,,,,
5645,,,,,,,,,,,,,,,Dune,,,,,,,,,,,,,,,
5646,,,,,,,,,,,,,,,,,,,,,,,,,,City by the Sea,,,,
5647,,,,,,,,,,,,,,,,,,,,,,,,She Done Him Wrong,,,,,,
5648,,,,Nathalie...,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,,,,,,,,,,,,,,,,,,,,,,,,,,Serpico,,,,
5650,,,,,,,,,,,,,,,Star Wars Episode VI: Return of the Jedi,,,,,,,,,,,,,,,
5651,,,,,,,,,,,,,,,Victor/Victoria,,,,,,,,,,,,,,,
5652,,,,,,,,,The House Bunny,,,,,,,,,,,,,,,,,,,,,
5653,,,,,,,,,,,,,,,,,,,Hansel and Gretel,,,,,,,,,,,
5654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Fourth Protocol,
5655,,,,,,,,,,,,,,,Prince Vladimir,,,,,,,,,,,,,,,
5656,,,,,,,,,,,,,,,The Whole Nine Yards,,,,,,,,,,,,,,,
5657,,,,,,,,,,Medicine Man,,,,,,,,,,,,,,,,,,,,
5658,,,,,,,,,Chungking Express,,,,,,,,,,,,,,,,,,,,,
5659,,,,,,,,,,,,,,,Space Dogs,,,,,,,,,,,,,,,
5660,,,,,,,,,,,,,,,,,,Journey 2: The Mysterious Island,,,,,,,,,,,,
5661,,,,,,,,,Clockwatchers,,,,,,,,,,,,,,,,,,,,,
5662,,,,,,,,,,,,,,,,,,,What's Eating Gilbert Grape,,,,,,,,,,,
5663,,,,,,,,,,,,,,,The Oogieloves in the Big Balloon Adventure,,,,,,,,,,,,,,,
5664,,,,Der Tiger von Eschnapur,,,,,,,,,,,,,,,,,,,,,,,,,,
5665,,,,City of Men,,,,,,,,,,,,,,,,,,,,,,,,,,
5666,,,,,,Der Untergang,,,,,,,,,,,,,,,,,,,,,,,,
5667,,,,,,,,,,,,,,A Little Princess,,,,,,,,,,,,,,,,
5668,,,,,,,,,,,,,,,Pinocchio and the Emperor of the Night,,,,,,,,,,,,,,,
5669,,,,,,,,,,,,,,,,,,,,,,,Halloween 4: The Return of Michael Myers,,,,,,,
5670,,,,,,,,,,,,,,,X-Men: The Last Stand,,,,,,,,,,,,,,,
5671,,,,,,,,,,,,,,,,,,,,,,,,,,,Acción mutante,,,
5672,,,,,,,,,40 Days and 40 Nights,,,,,,,,,,,,,,,,,,,,,
5673,,,,,,,,,,,,Cocoon,,,,,,,,,,,,,,,,,,
5674,,,,,,,,,,,,,,,,,,,,Johnson Family Vacation,,,,,,,,,,
5675,,,,,,,,,,,,,,,The Man Who Cried,,,,,,,,,,,,,,,
5676,,,,,,,,,,,,,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,,,,,,,,,,,,,,,,,
5677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Con Air,
5678,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach,,,
5679,,,,,,,,,,,,,,,,,,,,,,,,,,,Gone in 60 Seconds,,,
5680,,,,,,,,,,,,,,,,,,,,,,,,A Shot in the Dark,,,,,,
5681,New Police Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5682,,,,Little Girl,,,,,,,,,,,,,,,,,,,,,,,,,,
5683,,,,,Nightmares,,,,,,,,,,,,,,,,,,,,,,,,,
5684,,,,,,,,,,,,,Doctor Who,,,,,,,,,,,,,,,,,
5685,,,,,,,,,,,,,,,We're Back! A Dinosaur's Story,,,,,,,,,,,,,,,
5686,,,,2 Coelhos,,,,,,,,,,,,,,,,,,,,,,,,,,
5687,,,,,,,,,,,,,,,,,,,,,,The Spy Who Loved Me,,,,,,,,
5688,,,,,,,,,,,,,,,The Song of Sparrows,,,,,,,,,,,,,,,
5689,,,,,,,,,,,,,,,Cold Souls,,,,,,,,,,,,,,,
5690,,,,,,Russkies,,,,,,,,,,,,,,,,,,,,,,,,
5691,,,,,,,,,,,,,,,,,,Mr. Nanny,,,,,,,,,,,,
5692,,,,,,,,,,,,,,,Cheetah,,,,,,,,,,,,,,,
5693,,,,,,,,,,,,,High Anxiety,,,,,,,,,,,,,,,,,
5694,,,,Holding Trevor,,,,,,,,,,,,,,,,,,,,,,,,,,
5695,,,,,,,,,,,,,The Hospital,,,,,,,,,,,,,,,,,
5696,,,,,,,,,,,,,,,Princess Caraboo,,,,,,,,,,,,,,,
5697,,,,,,,,Tommy Boy,,,,,,,,,,,,,,,,,,,,,,
5698,,,,,,,,,,,,,,,Slumdog Millionaire,,,,,,,,,,,,,,,
5699,,,,,,,,,,,,,,,,,,,,,,,,,,,Miracle on 34th Street,,,
5700,,,,,,,,,,,,,,,,,,,,,,,,Into The White Night,,,,,,
5701,,,,,,,,,,,,,,,,,,,,,,,,,,,The Mysterious Lady,,,
5702,,,,,,,,,,,,,,,Pokémon Heroes,,,,,,,,,,,,,,,
5703,,,,,,,,,,,,,,,The Adventures of Pluto Nash,,,,,,,,,,,,,,,
5704,,,,,,The Bridges at Toko-Ri,,,,,,,,,,,,,,,,,,,,,,,,
5705,,,,,,,,,,,,,,,,,,,The Octagon,,,,,,,,,,,
5706,,,,,,,,,,,,,,,,,,,,,,,,The Devil's Own,,,,,,
5707,,,,,,,,,,,,,,,Star Trek VI: The Undiscovered Country,,,,,,,,,,,,,,,
5708,,,,The Jane Austen Book Club,,,,,,,,,,,,,,,,,,,,,,,,,,
5709,,,,,,,,,,,,,,,,,,,Shelter,,,,,,,,,,,
5710,,,,,,,,,,,,,,,,,,,Breakdown,,,,,,,,,,,
5711,,,,,,,,,,,,,Cloverfield,,,,,,,,,,,,,,,,,
5712,,,,,,,,,"Sex, Lies, and Videotape",,,,,,,,,,,,,,,,,,,,,
5713,,,,,,The Sad Sack,,,,,,,,,,,,,,,,,,,,,,,,
5714,,,,,,,,,Airheads,,,,,,,,,,,,,,,,,,,,,
5715,,,,,,,,,,,,,,,,,,,,,Shaolin Soccer,,,,,,,,,
5716,,,,,,,,,,,,,,,,,,,,Tosun Paşa,,,,,,,,,,
5717,,,,,,,,,,,,,,,,,,,,Keeping Up with the Steins,,,,,,,,,,
5718,Bandolero!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719,,,,,,,,,,,,,,,,,,,The Last House on the Left,,,,,,,,,,,
5720,,,,,,,,,,,,,,,Shanghai Knights,,,,,,,,,,,,,,,
5721,,,,,,,,,,,,,,,Hansel and Gretel: Witch Hunters,,,,,,,,,,,,,,,
5722,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5723,,,,,,,,,,,,First Men in the Moon,,,,,,,,,,,,,,,,,,
5724,,,,,,,,,,,,,,,,,,,,,,,Witless Protection,,,,,,,
5725,,,,,,,,,,,,,,,Annie,,,,,,,,,,,,,,,
5726,,,,,,,,,,,,,,,,,,,Shutter,,,,,,,,,,,
5727,,,,,,,The Crime of Father Amaro,,,,,,,,,,,,,,,,,,,,,,,
5728,,,,,,,,,,,,,,,,,,,,Ready,,,,,,,,,,
5729,,,,,,,,,,,,,,,Lemony Snicket's A Series of Unfortunate Events,,,,,,,,,,,,,,,
5730,,,,,,,,,Houdini,,,,,,,,,,,,,,,,,,,,,
5731,,,,,,,,,,,,,,,,,,,,,,,,,,Showdown in Little Tokyo,,,,
5732,,,,,,,,,,,,,,,,Young Adult,,,,,,,,,,,,,,
5733,,,,,,,,,,,,,,,Don't Bother to Knock,,,,,,,,,,,,,,,
5734,,,,,,,,,,,,,,,Chimpanzee,,,,,,,,,,,,,,,
5735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Eye,
5736,,,,,,,,,,,,Earth Girls Are Easy,,,,,,,,,,,,,,,,,,
5737,,,,,,,,,,,,,,,,,,,Possession,,,,,,,,,,,
5738,,,,,,,,,,,,,,,,The Buddy Holly Story,,,,,,,,,,,,,,
5739,,,,Finding Neverland,,,,,,,,,,,,,,,,,,,,,,,,,,
5740,,,,,,,,,,,,Flesh Gordon,,,,,,,,,,,,,,,,,,
5741,,,,,,,,,,,,,,,The Cable Guy,,,,,,,,,,,,,,,
5742,,,,,,,,,,,,,,,,,,,Drowning Mona,,,,,,,,,,,
5743,,,,,,,,,,,,,,,The Contract,,,,,,,,,,,,,,,
5744,,,,,,,,,,,,,,,Total Recall,,,,,,,,,,,,,,,
5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Night of the Comet
5746,,,,,,,,,,,,,,,Thelma & Louise,,,,,,,,,,,,,,,
5747,,,,,,,,,,,,,,,How to Eat Fried Worms,,,,,,,,,,,,,,,
5748,,,,,,,,,The Bridesmaid,,,,,,,,,,,,,,,,,,,,,
5749,,,,,,,,,,,,,,,,,,,,,,,,,,,The Ides of March,,,
5750,,,,,,,,,Gung Ho,,,,,,,,,,,,,,,,,,,,,
5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project X,
5752,,,,,,,,,,,,,Piranha,,,,,,,,,,,,,,,,,
5753,,,,,,,,,,,,,,,Hardware,,,,,,,,,,,,,,,
5754,,,,,,,,,,,,,,,,,,,,,,,,Split Second,,,,,,
5755,,,,Ex Drummer,,,,,,,,,,,,,,,,,,,,,,,,,,
5756,,,,,,,,,,,,,,,The SpongeBob SquarePants Movie,,,,,,,,,,,,,,,
5757,,,,,,,,,,,,,,,Winter’s Bone,,,,,,,,,,,,,,,
5758,,,,,,,,,Scrooged,,,,,,,,,,,,,,,,,,,,,
5759,,,,,,,The Order,,,,,,,,,,,,,,,,,,,,,,,
5760,,,,,,,,,,,,Poseidon,,,,,,,,,,,,,,,,,,
5761,American Outlaws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Goods: Live Hard, Sell Hard",,,
5763,,,,The Limits of Control,,,,,,,,,,,,,,,,,,,,,,,,,,
5764,,,,,The King of Kong: A Fistful of Quarters,,,,,,,,,,,,,,,,,,,,,,,,,
5765,,,,,,,,,,,,,,,,,,,,,,,Funny Farm,,,,,,,
5766,,,,Waking the Dead,,,,,,,,,,,,,,,,,,,,,,,,,,
5767,,,,,,,,,,,,,,,,,Daddy's Little Girls,,,,,,,,,,,,,
5768,,,,,,,,,,,,,,,,,,,,A Simple Life,,,,,,,,,,
5769,,The Forsaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770,,,,,,,,,,,,,,,Brave,,,,,,,,,,,,,,,
5771,,,,,,,,,Dan in Real Life,,,,,,,,,,,,,,,,,,,,,
5772,,,,,,,,,,,,,,,,,,,,,,,,The Boondock Saints,,,,,,
5773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Manchurian Candidate,
5774,,,,,,,,,,,,,,,Kids,,,,,,,,,,,,,,,
5775,,,,,,,,,,,,,,,,,,,,,,The Man with the Golden Gun,,,,,,,,
5776,,,,SLC Punk!,,,,,,,,,,,,,,,,,,,,,,,,,,
5777,,,,Glen or Glenda?,,,,,,,,,,,,,,,,,,,,,,,,,,
5778,,,,,,,,,,,,,,,Trial by Jury,,,,,,,,,,,,,,,
5779,,,,,,,,,"New York, New York",,,,,,,,,,,,,,,,,,,,,
5780,,,,,,,,,,,,,,,,,,,,,,,,,,,Days of Thunder,,,
5781,,,,,,,,,,,,,,,,,,,,,,,,Mindhunters,,,,,,
5782,,,,,,,,,,,,,,The Last American Virgin,,,,,,,,,,,,,,,,
5783,,,,,,,Repossessed,,,,,,,,,,,,,,,,,,,,,,,
5784,,,,,,,,,,,,Outlander,,,,,,,,,,,,,,,,,,
5785,,,,,,,Jesus Christ Superstar,,,,,,,,,,,,,,,,,,,,,,,
5786,,,,,,,,,,,,,,,,,,,,,,,,,,,Exit to Eden,,,
5787,,,,,,,,,,,,,,,Madeline,,,,,,,,,,,,,,,
5788,,,,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,
5789,,,,,,,,,,,,,,,,,,,,,Dodgeball: A True Underdog Story,,,,,,,,,
5790,,,,,,,,,,,The Toxic Avenger,,,,,,,,,,,,,,,,,,,
5791,,,,,,,,,,Best Defense,,,,,,,,,,,,,,,,,,,,
5792,,,,,,,,,,,,I Am Number Four,,,,,,,,,,,,,,,,,,
5793,,,,,,,,,,,,,Ring 2,,,,,,,,,,,,,,,,,
5794,,,,,,,,,,,,,,,,,,,,,,,Leap of Faith,,,,,,,
5795,,,,,,,,,,,,,,Napoleon Dynamite,,,,,,,,,,,,,,,,
5796,,,,,,,,,,,,,,,,,,,,,,,,,,,The Pink Panther,,,
5797,,,,,,,,,,,,,,,Crows ZERO,,,,,,,,,,,,,,,
5798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Great Waldo Pepper,
5799,,,,,,,,,,,,,,,Sorority Boys,,,,,,,,,,,,,,,
5800,,,,Born into Brothels: Calcutta's Red Light Kids,,,,,,,,,,,,,,,,,,,,,,,,,,
5801,,,,,,,,,,,,,,,The Hebrew Hammer,,,,,,,,,,,,,,,
5802,,,,,,,,,,,,,,,,,,,,,,,,,,The Limey,,,,
5803,,,,,,,,,,,,,,,,,,,,,,,,F/X2,,,,,,
5804,,,,,,,,,,,,,,,,,,,,,,,,Fire in the Sky,,,,,,
5805,,,,,,,,,,,,,,,,Evening,,,,,,,,,,,,,,
5806,,,,,,,,,,,,,,,Desperate Measures,,,,,,,,,,,,,,,
5807,,,,,,,,,,,,,,,Coraline,,,,,,,,,,,,,,,
5808,,,,,,,,,Three to Tango,,,,,,,,,,,,,,,,,,,,,
5809,,,,,,,,,,,,,,,,,,,,,,,,The Usual Suspects,,,,,,
5810,,,,,,,Prince of Darkness,,,,,,,,,,,,,,,,,,,,,,,
5811,,,,,,,,,,,,,,,Housefull 2,,,,,,,,,,,,,,,
5812,,,,,,,,,,,,,,,Avenging Force,,,,,,,,,,,,,,,
5813,,,,,,,,,,,,,,,Conan the Destroyer,,,,,,,,,,,,,,,
5814,,,,Mystic Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,
5815,,,,,,,,,All About Steve,,,,,,,,,,,,,,,,,,,,,
5816,,,,,Winnie the Pooh and a Day for Eeyore,,,,,,,,,,,,,,,,,,,,,,,,,
5817,,,,,,,The Rite,,,,,,,,,,,,,,,,,,,,,,,
5818,,,,,,,,,,,,,,,,,,,,,,,,,Breathing,,,,,
5819,,,,,,,,,24 Hour Party People,,,,,,,,,,,,,,,,,,,,,
5820,,,,,,,,,,,,,Humanoids from the Deep,,,,,,,,,,,,,,,,,
5821,,,,,A Boy Named Charlie Brown,,,,,,,,,,,,,,,,,,,,,,,,,
5822,,,,An American Affair,,,,,,,,,,,,,,,,,,,,,,,,,,
5823,,,,,,,,,,,,,,,,,,,,,,,,,,,Argo,,,
5824,,,,,,,,,,,,,,,,,,,,,,,,In My Sleep,,,,,,
5825,,,,,,,,,,,,,,,Ace Ventura: When Nature Calls,,,,,,,,,,,,,,,
5826,,,,,,Mediterraneo,,,,,,,,,,,,,,,,,,,,,,,,
5827,,,,,Astérix at the Olympic Games,,,,,,,,,,,,,,,,,,,,,,,,,
5828,,,,Ten Canoes,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,,,,,,,,,,,,Event Horizon,,,,,,,,,,,,,,,,,,
5830,,,,My Brother Is an Only Child,,,,,,,,,,,,,,,,,,,,,,,,,,
5831,,,,,,,,,"Bon Voyage, Charlie Brown",,,,,,,,,,,,,,,,,,,,,
5832,,,,,,,,,,,,,,,,Mr. Saturday Night,,,,,,,,,,,,,,
5833,,,,,,,,,,,,,,,,,,,,,Mad About Mambo,,,,,,,,,
5834,,,,,,,,,Shame,,,,,,,,,,,,,,,,,,,,,
5835,,,,,,,,,,,,,,,,,,,,,Goon,,,,,,,,,
5836,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,
5837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaun of the Dead
5838,,,,,,,,,,,,,,,,,,,,Hook,,,,,,,,,,
5839,,,,,,,,,,,,,,,Seven Samurai,,,,,,,,,,,,,,,
5840,,,,,,,,,Dodsworth,,,,,,,,,,,,,,,,,,,,,
5841,,,,,,,,,,,,,,,,,,,,,,,,,,Out of Bounds,,,,
5842,,,,,,,,,,,,,,,Sweet Smell of Success,,,,,,,,,,,,,,,
5843,,,,,,,,,,,,,,,Raintree County,,,,,,,,,,,,,,,
5844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bourne Legacy,
5845,,,,,,,,,'Til There Was You,,,,,,,,,,,,,,,,,,,,,
5846,,,,,,,,,,,,,,,,,,,,,,,,Lethal Weapon 4,,,,,,
5847,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Save a Life,,
5848,,,,,,,,,,,,,,Boys and Girls,,,,,,,,,,,,,,,,
5849,,,,Daddy Longlegs,,,,,,,,,,,,,,,,,,,,,,,,,,
5850,,,,,,,,,,,,,,,,,,,,,,,,Messenger of Death,,,,,,
5851,,,,,,,,,,,,,,,,,Vivacious Lady,,,,,,,,,,,,,
5852,,,,,,,,,,,,,,,,,,,,,,,,,,Mike's Murder,,,,
5853,,,,,,,,,,,,,,,Opal Dream,,,,,,,,,,,,,,,
5854,,,,,,,,,,,,,,,,,,,,,,,,Twilight,,,,,,
5855,,,,,,,,,,,,,,Only the Strong,,,,,,,,,,,,,,,,
5856,,,,,,,,,,,,,,,Candyman,,,,,,,,,,,,,,,
5857,,,,,,,,,,,,,,,FairyTale: A True Story,,,,,,,,,,,,,,,
5858,,,,,,,,,,,,,,,Eyes of Fire,,,,,,,,,,,,,,,
5859,,,,,,,,,,,,,,,,,,,,The White Ribbon,,,,,,,,,,
5860,,,,,,,,,,,,,,,,,,,,,,,,,,,Hollywood Or Bust,,,
5861,,,,,Leatherheads,,,,,,,,,,,,,,,,,,,,,,,,,
5862,,,,,,,,,,,,,,,Bill & Ted's Excellent Adventure,,,,,,,,,,,,,,,
5863,,,,,,,,,Ruby Gentry,,,,,,,,,,,,,,,,,,,,,
5864,,,,,,,,,,,,,,,Foreign Correspondent,,,,,,,,,,,,,,,
5865,,,,,,,,,,,,,,,Beautiful,,,,,,,,,,,,,,,
5866,,,,The Dark Half,,,,,,,,,,,,,,,,,,,,,,,,,,
5867,,,,,Finding Forrester,,,,,,,,,,,,,,,,,,,,,,,,,
5868,,,,,,,,,,,,,,,,The Gift,,,,,,,,,,,,,,
5869,,,,,,,,,,,,,,,,,,,Poltergeist II: The Other Side,,,,,,,,,,,
5870,,,,,,,,,,,,,,,The Last Circus,,,,,,,,,,,,,,,
5871,,,,,,,,,,,,,,The Girl Next Door,,,,,,,,,,,,,,,,
5872,,,,,,,,,,,,,,,,,,,The Skin I Live In,,,,,,,,,,,
5873,,,,,,,,,,,,,,,,,,,Night of the Demons,,,,,,,,,,,
5874,,,,,,,,,,,,,,,The Fox and the Hound,,,,,,,,,,,,,,,
5875,,,,,,,,,,,,,,,Conan the Barbarian,,,,,,,,,,,,,,,
5876,,,,,,,,,,,,,,,,,,,My Girl,,,,,,,,,,,
5877,Return to Snowy River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5878,,,,Winning,,,,,,,,,,,,,,,,,,,,,,,,,,
5879,,,,,,,,,,,,,,,,,,,,,,,The Milagro Beanfield War,,,,,,,
5880,,,,Crocodile Dundee in Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,
5881,,,,,,,,,,,,,,,Walk on Water,,,,,,,,,,,,,,,
5882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shooter,
5883,,,,,,Hotel Rwanda,,,,,,,,,,,,,,,,,,,,,,,,
5884,,,,,,,,,Limbo,,,,,,,,,,,,,,,,,,,,,
5885,,,,,,,,,,,,,,,Motel Hell,,,,,,,,,,,,,,,
5886,,,,,,,,,,,,,Hope Springs,,,,,,,,,,,,,,,,,
5887,,,,,,,,,,,,,,,,,,,,,,,,The Girl with the Dragon Tattoo,,,,,,
5888,,,,Girls Will Be Girls,,,,,,,,,,,,,,,,,,,,,,,,,,
5889,,,,,,,,,,,,,,,,,,,,,,,,On the Waterfront,,,,,,
5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,
5891,,,,,,,,,,,,,,,,,,,Colombiana,,,,,,,,,,,
5892,,,,,,,,,,,,,,,,,,,,,Les Boys,,,,,,,,,
5893,,,,,,,,,,,,,,,Madagascar,,,,,,,,,,,,,,,
5894,,,,,,,,,,,,,,,Ice Age: The Meltdown,,,,,,,,,,,,,,,
5895,,,,,,,,Mutiny on the Bounty,,,,,,,,,,,,,,,,,,,,,,
5896,,,,,Just Wright,,,,,,,,,,,,,,,,,,,,,,,,,
5897,,,,,,,,,,,,,,,,,,,,,,,Winchester '73,,,,,,,
5898,,,,,,,,,September,,,,,,,,,,,,,,,,,,,,,
5899,,,,,,,,,,,,,,,,,,,,,,,,,,,The Deep End,,,
5900,,,,,,,,,,,,,,,The Jewel of the Nile,,,,,,,,,,,,,,,
5901,,,,,,,,,,,,,,,The Nativity Story,,,,,,,,,,,,,,,
5902,,,,,,,,,,,,,,,King Kong,,,,,,,,,,,,,,,
5903,,,,,,,,,,,,,,,The Swan Princess II: Escape from Castle Mountain,,,,,,,,,,,,,,,
5904,,,,,,,,,,,,,,,,,,,,,,,Welcome to Woop Woop,,,,,,,
5905,,,,,,,,,,,,,,,Johnny English Reborn,,,,,,,,,,,,,,,
5906,,,,,,,,,,,,,,,,,,,,,,,,Pacific Heights,,,,,,
5907,,,,,,,,,Hero,,,,,,,,,,,,,,,,,,,,,
5908,,,,,,,,,,,,,,,Hercules,,,,,,,,,,,,,,,
5909,,,,Touch of Pink,,,,,,,,,,,,,,,,,,,,,,,,,,
5910,,,,,,,,,,,,,,,,,,,,,,,,Memento,,,,,,
5911,,,,,,,,,,,,,,,Thunder Bay,,,,,,,,,,,,,,,
5912,,,,,,,,,,,,,,,At Play in the Fields of the Lord,,,,,,,,,,,,,,,
5913,,,,,,,,,,,,,,,,,,,,,,,McCabe & Mrs. Miller,,,,,,,
5914,,,,,,,,,,,,,,,,,,,Straw Dogs,,,,,,,,,,,
5915,,,,,,,,,,,,,,Better Off Dead,,,,,,,,,,,,,,,,
5916,,,Undercover Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,
5917,,,,,,,,,,,,,,,,,,,,,The A-Team,,,,,,,,,
5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Force One,
5919,,,,,,,,,,,,,,,The Flying Scotsman,,,,,,,,,,,,,,,
5920,,,,,,,,,,,,,,,,,,,,,Teen Wolf Too,,,,,,,,,
5921,,,Casa de los Babys,,,,,,,,,,,,,,,,,,,,,,,,,,,
5922,,,,Bogus,,,,,,,,,,,,,,,,,,,,,,,,,,
5923,,,,,,,,,,,,,,,The Book of Eli,,,,,,,,,,,,,,,
5924,,,,,,,,,,,,,,,,,,,,,,,,Final Analysis,,,,,,
5925,,,,,,,,,,,,,,I Love You Beth Cooper,,,,,,,,,,,,,,,,
5926,,,,Lovely & Amazing,,,,,,,,,,,,,,,,,,,,,,,,,,
5927,,,,,,,,,Bridget Jones's Diary,,,,,,,,,,,,,,,,,,,,,
5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Final Destination,
5929,,,,,,,,,,,,,Spider-Man,,,,,,,,,,,,,,,,,
5930,,,,This Charming Girl,,,,,,,,,,,,,,,,,,,,,,,,,,
5931,,,,Lovers' Concerto,,,,,,,,,,,,,,,,,,,,,,,,,,
5932,,,,,,,,,,,,,,,,,,,,,,,Back to the Future Part III,,,,,,,
5933,,,,,,,,,,,,,,,,,,,,,,,,,,,Curse of the Pink Panther,,,
5934,,,,The Dreamers,,,,,,,,,,,,,,,,,,,,,,,,,,
5935,,,,,,,,,,,,,,,,,,,Broken Flowers,,,,,,,,,,,
5936,,,,,,,,,,,,,Silent Rage,,,,,,,,,,,,,,,,,
5937,,,,,,,,,,,,,,,,,,,,,,,,,,,Talladega Nights: The Ballad of Ricky Bobby,,,
5938,,,,,,,,,,,,,,,Alvin and the Chipmunks: The Squeakquel,,,,,,,,,,,,,,,
5939,,,,,,,,,"Little Indian, Big City",,,,,,,,,,,,,,,,,,,,,
5940,,,,,,,,,Life or Something Like It,,,,,,,,,,,,,,,,,,,,,
5941,,,,,,,,,,,,,,,,,,,,,,,,Sky High,,,,,,
5942,,,,,,,,,,,,,,,,,,,Running Scared,,,,,,,,,,,
5943,,,,,,,,,,,,,,,Lara Croft: Tomb Raider,,,,,,,,,,,,,,,
5944,,,,,,,,,Postcards from the Edge,,,,,,,,,,,,,,,,,,,,,
5945,,,,,,,,,,,,,,,Quai des Orfèvres,,,,,,,,,,,,,,,
5946,,,,,,,,,,,,,,,,,,,Kill Theory,,,,,,,,,,,
5947,,,,99 Francs,,,,,,,,,,,,,,,,,,,,,,,,,,
5948,,,,,Rookie of the Year,,,,,,,,,,,,,,,,,,,,,,,,,
5949,,,,The Nutcracker in 3D,,,,,,,,,,,,,,,,,,,,,,,,,,
5950,,,,,,Judgment at Nuremberg,,,,,,,,,,,,,,,,,,,,,,,,
5951,,,,,,,,,,,,,,,Withnail and I,,,,,,,,,,,,,,,
5952,,,,,,,,,,,,,,,,,,,,,,,,Gloria,,,,,,
5953,,,,,,,,,,,,,,,,,,,,,,,,Wolfen,,,,,,
5954,,,,,,,,,,,,,,,,,,,Wes Craven's New Nightmare,,,,,,,,,,,
5955,,,,,,,,,Rock Star,,,,,,,,,,,,,,,,,,,,,
